# Source,Word,Pronunciation,Part of Speech,Definitions...
od,benign,bəˈnaɪn,
od,little,ˈlɪd(ə)l,
od,indium,ˈɪndiɚm,
od,transudate,ˈtraːnsyudət,
od,hypoxaemia,ˌhaɪpakˈsimiɚ,
od,lesion,ˈliʒ(ə)n,
od,magnification,ˌmæɡnəfəˈkeʃən,
od,ossification,ˌasəfəˈkeʃən,
od,infraction,ᵻnˈfrækʃən,
od,pituitary,pəˈtyuəˌtɛri,
od,neurocytoma,ˌn(j)ʊroˌsaɪˈtomə,
od,epidural,ˌɛpəˈd(j)ʊrəl,
od,immunocompetent,ˌɪmiɚnoˈkampədənt,
od,hepatopathy,ˌhɛpəˈtapəθi,
od,xanthogranulomatous,ˌzænθoˌɡræniɚˈlomədəs,
od,valve,vælv,
od,normal,ˈnɔrm(ə)l,
od,colon,ˈkolən,
od,neuroimaging,ˌn(j)ʊroˈɪmᵻdʒɪŋ,
od,patellar,pəˈtɛləː,
od,neuropathy,n(j)ʊˈrapəθi,
od,weber,ˈvebəː,
od,medicine,ˈmɛdəs(ə)n,
od,vasa,ˈvesə,
od,hamartoma,hamaːˈtomə,
od,osseous,ˈasiɚs,
od,burn,bəːn,
od,glioma,ɡlaɪˈomə,
od,solid,ˈsaləd,
od,exudate,ˈɛksəˌdet,
od,cavitation,kavɪˈteʃən,
od,rhabdomyosarcoma,ˌræbdoˌmaɪoˌsarˈkomə,
od,enteropathy,ˌɛn(t)əˈrapəθi,
od,lymphangitis,lɪmfanˈdʒʌɪtɪs,
od,biliary,ˈbɪliˌɛri,
od,coefficient,ˌkoəˈfɪʃənt,
od,bear,bɛɚ,
od,splint,splɪnt,
od,region,ˈridʒ(ə)n,
od,glenoid,ˈɡliːnɔɪd,
od,Cancri,ˈkæŋkri,
od,nasopharynx,ˌnezoˈfɛrɪŋks,
od,cistern,ˈsɪstəːn,
od,osgood-schlatter,ˌazˌɡʊdˈʃladəː,
od,score,skɔr,
od,fore-foot,ˈfɔrˌfʊt,
od,band,bænd,
od,hutchinson,ˈhʌtʃɪnsən,
od,ileus,ˈɪliɚs,
od,marginal,ˈmardʒənəl,
od,gangrenous,ˈɡæŋɡrənəs,
od,transplant,træn(t)sˈplænt,
od,nitrogen,ˈnaɪtrədʒ(ə)n,
od,mandible,ˈmændəbəl,
od,imaging,ˈɪmɪdʒɪŋ,
od,zollner,ˈtsœlnʌ,
od,myelomata,ˌmaiɚˈlomədə,
od,ring,rɪŋ,
od,graft,ɡræft,
od,false,fɔls,
od,obstruction,əbˈstrʌkʃən,
od,radial,ˈrediɚl,
od,asphyxiate,asˈfɪksɪet,
od,peritonsillar,ˌpɛɚˈtan(t)sələː,
od,keratosis,ˌkɛɚˈtosəs,
od,luxation,ləkˈseʃən,
od,breast,brɛst,
od,heterotopia,ˌhɛdəːoˈtopiɚ,
od,pigmented,pɪɡˈmɛntᵻd,
od,roadrunner,ˈrodˌrʌnəː,
od,zenker,ˈzɛŋkəː,
od,origination,əˌrɪdʒəˈneʃən,
od,broncho-pneumonia,ˌbraŋkonəˈmoniɚ,
od,sphenopalatine,ˌsfinoˈpæləˌtaɪn,
od,sign,saɪn,
od,iron,ˈaiɚn,
od,global,ˈɡlob(ə)l,
od,autosomal,ˌɔdəˈsom(ə)l,
od,severity,səˈvɛɚdi,
od,polytetrafluoroethylene,ˌpaliˌtɛtrəˌflʊroˈɛθəˌlin,
od,quantification,ˌkwan(t)əfəˈkeʃən,
od,ming,mɪŋ,
od,forearm,ˈfɔrˌarm,
od,haemophilia,hiːmoˈfɪliɚ,
od,trough,trɔf,
od,squamous,ˈskweməs,
od,embolization,ˌɛmbələˈzeʃən,
od,matter,ˈmædəː,
od,whom,hum,
od,occipital,akˈsɪpᵻdl,
od,chondroma,kanˈdromə,
od,miriti,ˈmɪrᵻdi,
od,protrusion,prəˈtruʒ(ə)n,
od,muscle,ˈmʌs(ə)l,
od,scintigraphy,sɪnˈtɪɡrəfi,
od,septum,ˈsɛptəm,
od,dilation,daɪˈleʃən,
od,stripe,straɪp,
